3.049834600000000000e+07,2.418476000000000000e+06,1.969670000000000000e+05,3.146580000000000000e+05,1.143300000000000000e+04,2.154290000000000000e+05,2.016300000000000000e+04,4.663900000000000000e+04,2.568560000000000000e+05,2.129000000000000000e+04
3.697294000000000000e+06,1.528508470000000000e+08,3.177360000000000000e+05,7.288220000000000000e+05,1.799700000000000000e+04,2.609880000000000000e+05,3.624600000000000000e+04,7.500600000000000000e+04,3.177620000000000000e+05,2.369300000000000000e+04
3.007100000000000000e+04,4.173600000000000000e+04,7.296590000000000000e+05,5.994000000000000000e+03,4.900000000000000000e+01,1.083000000000000000e+03,3.090000000000000000e+02,1.927000000000000000e+03,1.626600000000000000e+04,1.366000000000000000e+03
1.826510000000000000e+05,3.073240000000000000e+05,1.045600000000000000e+04,2.347378000000000000e+06,1.689100000000000000e+04,6.254000000000000000e+04,2.344300000000000000e+04,1.622200000000000000e+04,7.719500000000000000e+04,5.106000000000000000e+03
1.633900000000000000e+04,5.361000000000000000e+03,1.180000000000000000e+02,2.608800000000000000e+04,8.916890000000000000e+05,3.389400000000000000e+04,4.719800000000000000e+04,9.075000000000000000e+03,5.068000000000000000e+03,6.440000000000000000e+02
1.788640000000000000e+05,1.241920000000000000e+05,3.092000000000000000e+03,8.177700000000000000e+04,6.730900000000000000e+04,3.130520000000000000e+06,2.620300000000000000e+04,3.008300000000000000e+04,2.811400000000000000e+04,1.247000000000000000e+03
1.467900000000000000e+04,1.653100000000000000e+04,2.062000000000000000e+03,3.458100000000000000e+04,1.592300000000000000e+04,1.508400000000000000e+04,1.127850000000000000e+06,1.440500000000000000e+04,1.374000000000000000e+03,1.564000000000000000e+03
3.101500000000000000e+04,3.163700000000000000e+04,6.783000000000000000e+03,2.062100000000000000e+04,7.702000000000000000e+03,1.065000000000000000e+04,1.991400000000000000e+04,4.940530000000000000e+05,8.670000000000000000e+03,4.486000000000000000e+03
1.483350000000000000e+05,2.186720000000000000e+05,2.532400000000000000e+04,8.743000000000000000e+04,4.772000000000000000e+03,1.613400000000000000e+04,3.505000000000000000e+03,3.244600000000000000e+04,6.512902000000000000e+06,4.587000000000000000e+04
3.373000000000000000e+03,2.204000000000000000e+03,3.510000000000000000e+02,3.550000000000000000e+02,2.200000000000000000e+02,2.900000000000000000e+01,1.800000000000000000e+02,8.120000000000000000e+02,2.498000000000000000e+03,8.115900000000000000e+04
